stock_name,stcock_symbol
"
        Agriculture Development Bank Limited    ",ADBL
"
        Api Power Company Ltd.    ",API
"
        Arambha Microfinance Bittiya Sanstha Ltd.    ",AMFI
"
        Arun Kabeli Power Ltd.    ",AKPL
"
        Arun Valley Hydropower Development Co. Ltd.    ",AHPC
"
        Arun Vanaspati Udhyog Limited    ",AVU
"
        Asian Life Insurance Co. Limited    ",ALICL
"
        Bank of Kathmandu Ltd.    ",BOKL
"
        Barun Hydropower Co. Ltd.    ",BARUN
"
        Best Finance Company Ltd.    ",BFC
"
        Bhargav Bikash Bank Ltd.    ",BHBL
"
        Birat Shoe Limited    ",BSL
"
        Bishal Bazar Company Limited    ",BBC
"
        Bottlers Nepal (Balaju) Limited    ",BNL
"
        Bottlers Nepal (Terai) Limited    ",BNT
"
        Butwal Power Company Limited    ",BPCL
"
        Butwal Spinning Mills Limited    ",BSM
"
        Capital Merchant Bank & Finance Co. Ltd.    ",CMB
"
        Central Finance Co. Ltd.    ",CFCL
"
        Century Commercial Bank Ltd.    ",CCBL
